title_he,url,price,sizes,description_he,image_url,category_he
מיטה זוגית מתכווננת ברוחב 160 + זוג מזרני &quot;איביזה&quot;,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%94-%d7%96%d7%95%d7%92%d7%99%d7%aa-%d7%9e%d7%aa%d7%9b%d7%95%d7%95%d7%a0%d7%a0%d7%aa-%d7%91%d7%a8%d7%95%d7%97%d7%91-160-%d7%96%d7%95%d7%92-%d7%9e%d7%96%d7%a8%d7%a0%d7%99-%d7%90/,10937,N/A,"במיטה מתכווננת מעוצבת של מנדלבוים אתם בוחרים את בסיס המיטה וראש המיטה המתאימים לטעמכם האישי.בנוסף, תוכלו לבחור את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה.*התמונה להמחשה בלבד.",https://www.mandelboim.com/wp-content/uploads/2024/09/Bariel.jpg,מבצעי החודש
שידה ראום,https://www.mandelboim.com/product/%d7%a9%d7%99%d7%93%d7%94-%d7%a8%d7%90%d7%95%d7%9d/,1538,N/A,,https://www.mandelboim.com/wp-content/uploads/2025/07/WhatsApp-Image-2025-07-17-at-12.34.09-1.png,שידות
כרית ויסקו Air Flow,https://www.mandelboim.com/product/%d7%9b%d7%a8%d7%99%d7%aa-%d7%95%d7%99%d7%a1%d7%a7%d7%95-air-flow/,320,N/A,כרית העשויה מחומר ויסקו אלסטי בעל תכונת זיכרון ייחודית.הויסקו מתאים את עצמו למבנה האנטומי של הגוף ומצטיין בפיזור לחצים ותמיכה להענקת שינה רגועה ונעימה במיוחד.הכרית הינה אנטי אלרגנית ודוחת קרדית האבק.ליבת הכרית מנוקבת חורים המאפשרים זרימת אוויר.,https://www.mandelboim.com/wp-content/uploads/2025/03/כרית-ויסקו-חורים-scaled.jpg,N/A
מיטת איתי,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%90%d7%99%d7%aa%d7%99/,5500,N/A,"במיטה מעוצבת של מנדלבוים אתם בוחרים את בסיס המיטה וראש המיטה המתאימים לטעמכם האישי.בנוסף, תוכלו לבחור את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה",https://www.mandelboim.com/wp-content/uploads/2025/02/איתי-ראש-j_optimized-1.jpg,מיטות בעיצוב אישי
מיטת במה גל עם ארגז ראש F,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%91%d7%9e%d7%94-%d7%92%d7%9c-%d7%a2%d7%9d-%d7%90%d7%a8%d7%92%d7%96-%d7%a8%d7%90%d7%a9-f/,5500,N/A,"במיטה מעוצבת של מנדלבוים אתם בוחרים את בסיס המיטה וראש המיטה המתאימים לטעמכם האישי.בנוסף, תוכלו לבחור את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה",https://www.mandelboim.com/wp-content/uploads/2025/02/FFFגל.jpg,מיטות
מיטה יהודית עם ארגז ראש Q,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%94-%d7%99%d7%94%d7%95%d7%93%d7%99%d7%aa-%d7%a2%d7%9d-%d7%90%d7%a8%d7%92%d7%96/,5500,N/A,"במיטה מעוצבת של מנדלבוים אתם בוחרים את בסיס המיטה וראש המיטה המתאימים לטעמכם האישי.בנוסף, תוכלו לבחור את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה",https://www.mandelboim.com/wp-content/uploads/2025/02/יהודית-Q.png,מיטות
מזרן מילאנו 190*140,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%9e%d7%99%d7%9c%d7%90%d7%a0%d7%95-190140/,1970,190*140,מזרן דו צדדי – צד אחד רך והשני קשה.מבנה המזרן נותן תמיכה אופטימלית לגוף ומתאים לכולם מילדים ועד למבוגרים.ציפה קווילט הנותנת רכות ונעימות לשינה עמוקה.,https://www.mandelboim.com/wp-content/uploads/2023/11/מזרן-מילאנו.jpg,מציאון ועודפים
מזרן מילאנו 200*160,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%9e%d7%99%d7%9c%d7%90%d7%a0%d7%95-200160/,2315,200*160,מזרן דו צדדי – צד אחד רך והשני קשה.מבנה המזרן נותן תמיכה אופטימלית לגוף ומתאים לכולם מילדים ועד למבוגרים.ציפה קווילט הנותנת רכות ונעימות לשינה עמוקה.,https://www.mandelboim.com/wp-content/uploads/2023/11/מזרן-מילאנו.jpg,מציאון ועודפים
סט מצעים 100% כותנת סטן סרוקה &#8211; צבע אופוויט,https://www.mandelboim.com/product/%d7%a1%d7%98-%d7%9e%d7%a6%d7%a2%d7%99%d7%9d-100-%d7%9b%d7%95%d7%aa%d7%a0%d7%94-%d7%a1%d7%a8%d7%95%d7%a7%d7%94-%d7%a6%d7%91%d7%a2-%d7%90%d7%95%d7%a4%d7%95%d7%95%d7%99%d7%98/,320,N/A,"סט מצעים מלא, 100% כותנה סרוקה באריגת סטן המעניקה תחושה רכה ונעימה למגע.כותנת סטן 400 , בד איכותי חלק ונעים המעניק תחושת פינוק ורוגע.מובטחת חווית שינה נפלאה !",https://www.mandelboim.com/wp-content/uploads/2025/02/אריזה-בז.png,N/A
סט מצעים 100% כותנת סטן סרוקה &#8211; צבע אפור כהה,https://www.mandelboim.com/product/%d7%a1%d7%98-%d7%9e%d7%a6%d7%a2%d7%99%d7%9d-100-%d7%9b%d7%95%d7%aa%d7%a0%d7%94-%d7%a1%d7%a8%d7%95%d7%a7%d7%94-%d7%a6%d7%91%d7%a2-%d7%90%d7%a4%d7%95%d7%a8-%d7%91%d7%94%d7%99%d7%a8-%d7%9b%d7%94%d7%94/,320,N/A,"סט מצעים מלא, 100% כותנה סרוקה באריגת סטן המעניקה תחושה רכה ונעימה למגע.כותנת סטן 400 , בד איכותי חלק ונעים המעניק תחושת פינוק ורוגע.מובטחת חווית שינה נפלאה !",https://www.mandelboim.com/wp-content/uploads/2025/02/אריזה-אפור-כהה.png,N/A
